tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length
RDN25-1	-	-	RDN25-1	RDN25-1	TSS4938	XII:451785-457732	-
RDN25-2	-	-	RDN25-2	RDN25-2	TSS3513	XII:460922-466869	-
RDN37-1	-	-	RDN37-1	RDN37-1	TSS5513	XII:451785-457732	-
RDN37-2	-	-	RDN37-2	RDN37-2	TSS4670	XII:460922-466869	-
RDN5-1	-	-	RDN5-1	RDN5-1	TSS6135	XII:459675-459796	-
RDN5-2	-	-	RDN5-2	RDN5-2	TSS2155	XII:468812-468958	-
RDN5-3	-	-	RDN5-3	RDN5-3	TSS1534	XII:472464-472610	-
RDN5-4	-	-	RDN5-4	RDN5-4	TSS2121	XII:482044-482190	-
RDN5-5	-	-	RDN5-5	RDN5-5	TSS3699	XII:485696-485842	-
RDN5-6	-	-	RDN5-6	RDN5-6	TSS4908	XII:489348-489469	-
RDN58-1	-	-	RDN58-1	RDN58-1	TSS2545	XII:451785-457732	-
RDN58-2	-	-	RDN58-2	RDN58-2	TSS2571	XII:460922-466869	-
RNA170	-	-	RNA170	RNA170	TSS5063	XIII:667287-667456	-
RPM1	-	-	RPM1	RPM1	TSS5521	MT:85294-85777	-
RPR1	-	-	RPR1	RPR1	TSS5868	V:117666-118035	-
RUF20	-	-	RUF20	RUF20	TSS4537	VI:131060-131503	-
RUF21	-	-	RUF21	RUF21	TSS131	VI:57814-58521	-
RUF22	-	-	RUF22	RUF22	TSS2114	VI:199298-199813	-
RUF23	-	-	RUF23	RUF23	TSS5472	VI:221713-221967	-
RUF5-1	-	-	RUF5-1	RUF5-1	TSS5171	VIII:212408-213118	-
RUF5-2	-	-	RUF5-2	RUF5-2	TSS725	VIII:214406-215116	-
SCR1	-	-	SCR1	SCR1	TSS1759	V:441986-442508	-
SRG1	-	-	SRG1	SRG1	TSS6574	V:322211-324095	-
TLC1	-	-	TLC1	TLC1	TSS1283	II:307586-308887	-
YAL001C	-	-	YAL001C	TFC3	TSS1988	I:147593-151166	-
YAL002W	-	-	YAL002W	VPS8	TSS2555	I:143706-147531	-
YAL003W	-	-	YAL003W	EFB1	TSS2342	I:142173-143160	-
YAL004W	-	-	YAL004W	YAL004W	TSS4720	I:139502-141431	-
YAL005C	-	-	YAL005C	SSA1	TSS3443	I:139502-141431	-
YAL007C	-	-	YAL007C	ERP2	TSS4313	I:137697-138345	-
YAL008W	-	-	YAL008W	FUN14	TSS5407	I:136913-137510	-
YAL009W	-	-	YAL009W	SPO7	TSS6471	I:135853-136633	-
YAL010C	-	-	YAL010C	MDM10	TSS5017	I:134183-135665	-
YAL011W	-	-	YAL011W	SWC3	TSS2524	I:132198-134076	-
YAL012W	-	-	YAL012W	CYS3	TSS1179	I:130798-131983	-
YAL013W	-	-	YAL013W	DEP1	TSS989	I:129269-130487	-
YAL014C	-	-	YAL014C	SYN8	TSS6480	I:128251-129019	-
YAL015C	-	-	YAL015C	NTG1	TSS6966	I:126902-128102	-
YAL016C-A	-	-	YAL016C-A	YAL016C-A	TSS164	I:124754-126786	-
YAL016C-B	-	-	YAL016C-B	YAL016C-B	TSS6556	I:124306-124492	-
YAL016W	-	-	YAL016W	TPD3	TSS1792	I:124754-126786	-
YAL017W	-	-	YAL017W	PSK1	TSS5078	I:120224-124295	-
YAL018C	-	-	YAL018C	LDS1	TSS2280	I:118563-119541	-
YAL019W	-	-	YAL019W	FUN30	TSS549	I:114918-118314	-
YAL019W-A	-	-	YAL019W-A	YAL019W-A	TSS2335	I:113613-114819	-
YAL020C	-	-	YAL020C	ATS1	TSS6337	I:113613-114819	-
YAL021C	-	-	YAL021C	CCR4	TSS6721	I:110845-113359	-
YAL022C	-	-	YAL022C	FUN26	TSS2263	I:108876-110430	-
YAL023C	-	-	YAL023C	PMT2	TSS6995	I:106271-108551	-
YAL024C	-	-	YAL024C	LTE1	TSS1524	I:101564-105872	-
YAL025C	-	-	YAL025C	MAK16	TSS5404	I:100224-101145	-
YAL026C	-	-	YAL026C	DRS2	TSS623	I:94686-99868	-
YAL026C-A	-	-	YAL026C-A	YAL026C-A	TSS257	I:94686-99868	-
YAL027W	-	-	YAL027W	SAW1	TSS2355	I:94686-99868	-
YAL028W	-	-	YAL028W	FRT2	TSS6872	I:92899-94486	-
YAL029C	-	-	YAL029C	MYO4	TSS2304	I:87854-92270	-
YAL030W	-	-	YAL030W	SNC1	TSS6281	I:87285-87752	-
YAL031C	-	-	YAL031C	GIP4	TSS6472	I:84668-87031	-
YAL031W-A	-	-	YAL031W-A	YAL031W-A	TSS6294	I:84668-87031	-
YAL032C	-	-	YAL032C	PRP45	TSS472	I:83334-84474	-
YAL033W	-	-	YAL033W	POP5	TSS6290	I:82705-83227	-
YAL034C	-	-	YAL034C	FUN19	TSS6013	I:80709-81951	-
YAL034C-B	-	-	YAL034C-B	YAL034C-B	TSS4690	I:79488-80587	-
YAL034W-A	-	-	YAL034W-A	MTW1	TSS5796	I:79488-80587	-
YAL035W	-	-	YAL035W	FUN12	TSS3468	I:76426-79435	-
YAL036C	-	-	YAL036C	RBG1	TSS1914	I:75042-76152	-
YAL037C-A	-	-	YAL037C-A	YAL037C-A	TSS6345	I:73425-73518	-
YAL037C-B	-	-	YAL037C-B	YAL037C-B	TSS4238	I:71785-73300	-
YAL037W	-	-	YAL037W	YAL037W	TSS5087	I:74019-74823	-
YAL038W	-	-	YAL038W	CDC19	TSS4801	I:71785-73300	-
YAL039C	-	-	YAL039C	CYC3	TSS5495	I:68715-69525	-
YAL040C	-	-	YAL040C	CLN3	TSS4052	I:65777-67520	-
YAL041W	-	-	YAL041W	CDC24	TSS4521	I:62839-65404	-
YAL042C-A	-	-	YAL042C-A	YAL042C-A	TSS2723	I:61230-62563	-
YAL042W	-	-	YAL042W	ERV46	TSS4096	I:61230-62563	-
YAL043C	-	-	YAL043C	PTA1	TSS797	I:58694-61052	-
YAL044C	-	-	YAL044C	GCV3	TSS4514	I:57949-58462	-
YAL044W-A	-	-	YAL044W-A	YAL044W-A	TSS6922	I:57487-57850	-
YAL045C	-	-	YAL045C	YAL045C	TSS5020	I:57487-57850	-
YAL046C	-	-	YAL046C	AIM1	TSS4160	I:57028-57385	-
YAL047C	-	-	YAL047C	SPC72	TSS3058	I:54988-56857	-
YAL047W-A	-	-	YAL047W-A	YAL047W-A	TSS682	I:52800-54913	-
YAL048C	-	-	YAL048C	GEM1	TSS6846	I:52800-54913	-
YAL049C	-	-	YAL049C	AIM2	TSS4667	I:51854-52595	-
YAL051W	-	-	YAL051W	OAF1	TSS776	I:48563-51707	-
YAL053W	-	-	YAL053W	FLC2	TSS3041	I:45898-48250	-
YAL054C	-	-	YAL054C	ACS1	TSS3829	I:42880-45022	-
YAL055W	-	-	YAL055W	PEX22	TSS1651	I:42176-42719	-
YAL056C-A	-	-	YAL056C-A	YAL056C-A	TSS991	I:37463-39046	-
YAL056W	-	-	YAL056W	GPB2	TSS1277	I:39258-41901	-
YAL058W	-	-	YAL058W	CNE1	TSS1957	I:37463-39046	-
YAL059C-A	-	-	YAL059C-A	YAL059C-A	TSS2713	I:36495-37147	-
YAL059W	-	-	YAL059W	ECM1	TSS514	I:36495-37147	-
YAL060W	-	-	YAL060W	BDH1	TSS1631	I:35154-36303	-
YAL061W	-	-	YAL061W	BDH2	TSS6057	I:33447-34701	-
YAL062W	-	-	YAL062W	GDH3	TSS1121	I:31566-32940	-
YAL063C	-	-	YAL063C	FLO9	TSS5420	I:23999-27968	-
YAL063C-A	-	-	YAL063C-A	YAL063C-A	TSS6758	I:22394-22685	-
YAL064C-A	-	-	YAL064C-A	TDA8	TSS2528	I:13362-13743	-
YAL064W	-	-	YAL064W	YAL064W	TSS1431	I:21565-21850	-
YAL064W-B	-	-	YAL064W-B	YAL064W-B	TSS583	I:12045-12426	-
YAL065C	-	-	YAL065C	YAL065C	TSS1360	I:11564-11951	-
YAL066W	-	-	YAL066W	YAL066W	TSS2666	I:10090-10399	-
YAL067C	-	-	YAL067C	SEO1	TSS5467	I:7234-9016	-
YAL067W-A	-	-	YAL067W-A	YAL067W-A	TSS1248	I:2479-2707	-
YAL068C	-	-	YAL068C	PAU8	TSS251	I:1806-2169	-
YAL068W-A	-	-	YAL068W-A	YAL068W-A	TSS5441	I:334-792	-
YAL069W	-	-	YAL069W	YAL069W	TSS1129	I:334-792	-
YAR002C-A	-	-	YAR002C-A	ERP1	TSS3644	I:154064-154724	-
YAR002W	-	-	YAR002W	NUP60	TSS6225	I:152256-153876	-
YAR003W	-	-	YAR003W	SWD1	TSS2357	I:155004-156285	-
YAR007C	-	-	YAR007C	RFA1	TSS5827	I:156753-158619	-
YAR008W	-	-	YAR008W	SEN34	TSS1647	I:158965-159793	-
YAR009C	-	-	YAR009C	YAR009C	TSS3709	I:160596-164187	-
YAR010C	-	-	YAR010C	YAR010C	TSS3898	I:164543-165866	-
YAR014C	-	-	YAR014C	BUD14	TSS5059	I:166741-168871	-
YAR015W	-	-	YAR015W	ADE1	TSS178	I:169374-170295	-
YAR018C	-	-	YAR018C	KIN3	TSS718	I:170395-171703	-
YAR019C	-	-	YAR019C	CDC15	TSS4278	I:172210-175330	-
YAR019W-A	-	-	YAR019W-A	YAR019W-A	TSS1009	I:172210-175330	-
YAR020C	-	-	YAR020C	PAU7	TSS1632	I:176855-177023	-
YAR023C	-	-	YAR023C	YAR023C	TSS4589	I:179280-179820	-
YAR027W	-	-	YAR027W	UIP3	TSS3920	I:183769-184477	-
YAR028W	-	-	YAR028W	YAR028W	TSS9	I:184891-185596	-
YAR029W	-	-	YAR029W	YAR029W	TSS2639	I:186320-187732	-
YAR030C	-	-	YAR030C	YAR030C	TSS3790	I:186320-187732	-
YAR031W	-	-	YAR031W	PRM9	TSS1846	I:186320-187732	-
YAR033W	-	-	YAR033W	MST28	TSS3054	I:188106-188811	-
YAR035C-A	-	-	YAR035C-A	YAR035C-A	TSS3554	I:192336-192417	-
YAR035W	-	-	YAR035W	YAT1	TSS1413	I:190192-192256	-
YAR042W	-	-	YAR042W	SWH1	TSS1473	I:192618-196185	-
YAR047C	-	-	YAR047C	YAR047C	TSS1941	I:201466-201787	-
YAR050W	-	-	YAR050W	FLO1	TSS2796	I:203402-208016	-
YAR053W	-	-	YAR053W	YAR053W	TSS6818	I:208366-208663	-
YAR060C	-	-	YAR060C	YAR060C	TSS2674	I:217156-217492	-
YAR061W	-	-	YAR061W	YAR061W	TSS2526	I:218139-218343	-
YAR062W	-	-	YAR062W	YAR062W	TSS6165	I:218548-219145	-
YAR064W	-	-	YAR064W	YAR064W	TSS5369	I:220197-220497	-
YAR066W	-	-	YAR066W	YAR066W	TSS1812	I:221048-221660	-
YAR068W	-	-	YAR068W	YAR068W	TSS6433	I:222405-222891	-
YAR069C	-	-	YAR069C	YAR069C	TSS2596	I:224010-224304	-
YAR070C	-	-	YAR070C	YAR070C	TSS435	I:224562-224862	-
YAR071W	-	-	YAR071W	PHO11	TSS2971	I:225459-226863	-
YAR073W	-	-	YAR073W	IMD1	TSS876	I:227741-229317	-
YAR075W	-	-	YAR075W	YAR075W	TSS5049	I:227741-229317	-
YBL001C	-	-	YBL001C	ECM15	TSS5914	II:237152-237467	-
YBL002W	-	-	YBL002W	HTB2	TSS1602	II:236491-236887	-
YBL003C	-	-	YBL003C	HTA2	TSS4733	II:235393-235792	-
YBL004W	-	-	YBL004W	UTP20	TSS4599	II:227635-235117	-
YBL005W	-	-	YBL005W	PDR3	TSS3120	II:217469-220400	-
YBL005W-A	-	-	YBL005W-A	YBL005W-A	TSS173	II:221329-226598	-
YBL005W-B	-	-	YBL005W-B	YBL005W-B	TSS173	II:221329-226598	-
YBL006C	-	-	YBL006C	LDB7	TSS3574	II:216586-217129	-
YBL006W-A	-	-	YBL006W-A	YBL006W-A	TSS5316	II:216586-217129	-
YBL007C	-	-	YBL007C	SLA1	TSS3333	II:212631-216366	-
YBL008W	-	-	YBL008W	HIR1	TSS5987	II:209652-212175	-
YBL008W-A	-	-	YBL008W-A	YBL008W-A	TSS5493	II:209408-209648	-
YBL009W	-	-	YBL009W	ALK2	TSS1024	II:207193-209224	-
YBL010C	-	-	YBL010C	YBL010C	TSS5224	II:206106-206949	-
YBL011W	-	-	YBL011W	SCT1	TSS2810	II:203405-205817	-
YBL012C	-	-	YBL012C	YBL012C	TSS6537	II:203405-205817	-
YBL013W	-	-	YBL013W	FMT1	TSS5640	II:202055-203261	-
YBL014C	-	-	YBL014C	RRN6	TSS3869	II:199063-201748	-
YBL015W	-	-	YBL015W	ACH1	TSS4246	II:194121-195702	-
YBL016W	-	-	YBL016W	FUS3	TSS4444	II:192450-193512	-
YBL017C	-	-	YBL017C	PEP1	TSS564	II:186843-191583	-
YBL018C	-	-	YBL018C	POP8	TSS6300	II:185997-186474	-
YBL019W	-	-	YBL019W	APN2	TSS1494	II:184352-185915	-
YBL020W	-	-	YBL020W	RFT1	TSS5648	II:182400-184125	-
YBL021C	-	-	YBL021C	HAP3	TSS4501	II:181659-182094	-
YBL022C	-	-	YBL022C	PIM1	TSS1633	II:177873-181275	-
YBL023C	-	-	YBL023C	MCM2	TSS6027	II:174919-177526	-
YBL024W	-	-	YBL024W	NCL1	TSS755	II:172533-174588	-
YBL025W	-	-	YBL025W	RRN10	TSS1499	II:171480-171918	-
YBL026W	-	-	YBL026W	LSM2	TSS6769	II:170622-171038	-
YBL027W	-	-	YBL027W	RPL19B	TSS5351	II:168422-169376	-
YBL028C	-	-	YBL028C	YBL028C	TSS4040	II:167517-167838	-
YBL029C-A	-	-	YBL029C-A	YBL029C-A	TSS2023	II:164487-164772	-
YBL029W	-	-	YBL029W	YBL029W	TSS5290	II:166133-167264	-
YBL030C	-	-	YBL030C	PET9	TSS1989	II:163040-163997	-
YBL031W	-	-	YBL031W	SHE1	TSS636	II:161698-162715	-
YBL032W	-	-	YBL032W	HEK2	TSS5584	II:160183-161329	-
YBL033C	-	-	YBL033C	RIB1	TSS6503	II:158655-159693	-
YBL034C	-	-	YBL034C	STU1	TSS7031	II:153847-158389	-
YBL035C	-	-	YBL035C	POL12	TSS2331	II:151492-153610	-
YBL036C	-	-	YBL036C	YBL036C	TSS3379	II:150446-151220	-
YBL037W	-	-	YBL037W	APL3	TSS2032	II:147208-150286	-
YBL038W	-	-	YBL038W	MRPL16	TSS640	II:146186-146885	-
YBL039C	-	-	YBL039C	URA7	TSS4550	II:143988-145728	-
YBL039C-A	-	-	YBL039C-A	YBL039C-A	TSS1966	II:143988-145728	-
YBL039W-B	-	-	YBL039W-B	YBL039W-B	TSS1258	II:143392-143572	-
YBL040C	-	-	YBL040C	ERD2	TSS4348	II:142111-142868	-
YBL041W	-	-	YBL041W	PRE7	TSS569	II:141246-141972	-
YBL042C	-	-	YBL042C	FUI1	TSS2774	II:138340-140260	-
YBL043W	-	-	YBL043W	ECM13	TSS1844	II:136687-137461	-
YBL044W	-	-	YBL044W	YBL044W	TSS4884	II:135997-136366	-
YBL045C	-	-	YBL045C	COR1	TSS826	II:134142-135516	-
YBL046W	-	-	YBL046W	PSY4	TSS1230	II:132423-133749	-
YBL047C	-	-	YBL047C	EDE1	TSS1235	II:127894-132040	-
YBL048W	-	-	YBL048W	RRT1	TSS206	II:127298-127610	-
YBL049W	-	-	YBL049W	MOH1	TSS2254	II:126827-127244	-
YBL050W	-	-	YBL050W	SEC17	TSS188	II:125124-126119	-
YBL051C	-	-	YBL051C	PIN4	TSS5661	II:122752-124759	-
YBL052C	-	-	YBL052C	SAS3	TSS4417	II:119334-121874	-
YBL053W	-	-	YBL053W	YBL053W	TSS3883	II:119334-121874	-
YBL054W	-	-	YBL054W	TOD6	TSS1015	II:117588-119166	-
YBL055C	-	-	YBL055C	YBL055C	TSS1707	II:115572-116829	-
YBL056W	-	-	YBL056W	PTC3	TSS3800	II:113761-115168	-
YBL057C	-	-	YBL057C	PTH2	TSS3700	II:112800-113427	-
YBL058W	-	-	YBL058W	SHP1	TSS6254	II:111436-112708	-
YBL059C-A	-	-	YBL059C-A	CMC2	TSS5714	II:110124-110539	-
YBL059W	-	-	YBL059W	YBL059W	TSS2763	II:110593-111244	-
YBL060W	-	-	YBL060W	YEL1	TSS3942	II:107931-109995	-
YBL061C	-	-	YBL061C	SKT5	TSS4563	II:105307-107406	-
YBL062W	-	-	YBL062W	YBL062W	TSS1327	II:105307-107406	-
YBL063W	-	-	YBL063W	KIP1	TSS93	II:101885-105221	-
YBL064C	-	-	YBL064C	PRX1	TSS2064	II:100370-101156	-
YBL065W	-	-	YBL065W	YBL065W	TSS5527	II:96668-100307	-
YBL066C	-	-	YBL066C	SEF1	TSS3857	II:96668-100307	-
YBL067C	-	-	YBL067C	UBP13	TSS4353	II:93638-95882	-
YBL068W	-	-	YBL068W	PRS4	TSS860	II:92413-93394	-
YBL068W-A	-	-	YBL068W-A	YBL068W-A	TSS2065	II:90604-92030	-
YBL069W	-	-	YBL069W	AST1	TSS4965	II:90604-92030	-
YBL070C	-	-	YBL070C	YBL070C	TSS1405	II:90604-92030	-
YBL071C	-	-	YBL071C	YBL071C	TSS2279	II:89977-90531	-
YBL071C-B	-	-	YBL071C-B	YBL071C-B	TSS2518	II:89457-89556	-
YBL071W-A	-	-	YBL071W-A	KTI11	TSS2994	II:89977-90531	-
YBL072C	-	-	YBL072C	RPS8A	TSS3866	II:88522-89125	-
YBL073W	-	-	YBL073W	YBL073W	TSS5883	II:86721-87957	-
YBL074C	-	-	YBL074C	AAR2	TSS1918	II:86721-87957	-
YBL075C	-	-	YBL075C	SSA3	TSS6826	II:84498-86448	-
YBL076C	-	-	YBL076C	ILS1	TSS6128	II:80896-84261	-
YBL077W	-	-	YBL077W	YBL077W	TSS2112	II:80896-84261	-
YBL078C	-	-	YBL078C	ATG8	TSS4837	II:80377-80731	-
YBL079W	-	-	YBL079W	NUP170	TSS6064	II:75258-79767	-
YBL080C	-	-	YBL080C	PET112	TSS2569	II:73069-74695	-
YBL081W	-	-	YBL081W	YBL081W	TSS255	II:71865-72972	-
YBL082C	-	-	YBL082C	ALG3	TSS3212	II:69712-71127	-
YBL083C	-	-	YBL083C	YBL083C	TSS4219	II:69712-71127	-
YBL084C	-	-	YBL084C	CDC27	TSS311	II:67168-69445	-
YBL085W	-	-	YBL085W	BOI1	TSS1559	II:63875-66818	-
YBL086C	-	-	YBL086C	YBL086C	TSS6973	II:61201-62602	-
YBL087C	-	-	YBL087C	RPL23A	TSS389	II:59821-60739	-
YBL088C	-	-	YBL088C	TEL1	TSS3199	II:51018-59382	-
YBL089W	-	-	YBL089W	AVT5	TSS1026	II:49573-50953	-
YBL090W	-	-	YBL090W	MRP21	TSS2232	II:48824-49358	-
YBL091C	-	-	YBL091C	MAP2	TSS1488	II:47362-48628	-
YBL091C-A	-	-	YBL091C-A	SCS22	TSS6849	II:46564-47180	-
YBL092W	-	-	YBL092W	RPL32	TSS3642	II:45977-46370	-
YBL093C	-	-	YBL093C	ROX3	TSS4441	II:44255-44918	-
YBL094C	-	-	YBL094C	YBL094C	TSS2839	II:43173-44097	-
YBL095W	-	-	YBL095W	YBL095W	TSS4419	II:43173-44097	-
YBL096C	-	-	YBL096C	YBL096C	TSS2665	II:43173-44097	-
YBL097W	-	-	YBL097W	BRN1	TSS6840	II:40830-43095	-
YBL098W	-	-	YBL098W	BNA4	TSS672	II:39144-40527	-
YBL099W	-	-	YBL099W	ATP1	TSS2154	II:36988-38690	-
YBL100C	-	-	YBL100C	YBL100C	TSS5699	II:36988-38690	-
YBL100W-A	-	-	YBL100W-A	YBL100W-A	TSS2600	II:29934-35248	-
YBL100W-B	-	-	YBL100W-B	YBL100W-B	TSS2600	II:29934-35248	-
YBL100W-C	-	-	YBL100W-C	YBL100W-C	TSS3734	II:28426-28546	-
YBL101C	-	-	YBL101C	ECM21	TSS4059	II:24945-28299	-
YBL102W	-	-	YBL102W	SFT2	TSS2205	II:24097-24745	-
YBL103C	-	-	YBL103C	RTG3	TSS1154	II:22075-23536	-
YBL104C	-	-	YBL104C	SEA4	TSS499	II:18176-21293	-
YBL105C	-	-	YBL105C	PKC1	TSS5752	II:14240-17696	-
YBL106C	-	-	YBL106C	SRO77	TSS3200	II:10846-13879	-
YBL107C	-	-	YBL107C	MIX23	TSS4026	II:9960-10551	-
YBL107W-A	-	-	YBL107W-A	YBL107W-A	TSS5502	II:9267-9372	-
YBL108C-A	-	-	YBL108C-A	PAU9	TSS6653	II:7604-7733	-
YBL108W	-	-	YBL108W	YBL108W	TSS4972	II:8176-8482	-
YBL109W	-	-	YBL109W	YBL109W	TSS6744	II:5789-6125	-
YBL111C	-	-	YBL111C	YBL111C	TSS4035	II:2906-5009	-
YBL112C	-	-	YBL112C	YBL112C	TSS5816	II:279-2899	-
YBL113C	-	-	YBL113C	YBL113C	TSS2553	II:279-2899	-
YBL113W-A	-	-	YBL113W-A	YBL113W-A	TSS2412	II:279-2899	-
YBR001C	-	-	YBR001C	NTH2	TSS5034	II:238940-241283	-
YBR002C	-	-	YBR002C	RER2	TSS6880	II:241707-242568	-
YBR003W	-	-	YBR003W	COQ1	TSS4946	II:242808-244230	-
YBR004C	-	-	YBR004C	GPI18	TSS6914	II:244365-245667	-
YBR005W	-	-	YBR005W	RCR1	TSS5279	II:245905-246547	-
YBR006W	-	-	YBR006W	UGA2	TSS4770	II:247009-248503	-
YBR007C	-	-	YBR007C	DSF2	TSS7010	II:248805-251016	-
YBR008C	-	-	YBR008C	FLR1	TSS6831	II:252562-254209	-
YBR009C	-	-	YBR009C	HHF1	TSS6538	II:255372-255684	-
YBR010W	-	-	YBR010W	HHT1	TSS2870	II:256330-256741	-
YBR011C	-	-	YBR011C	IPP1	TSS1321	II:257111-257975	-
YBR012C	-	-	YBR012C	YBR012C	TSS1191	II:259146-259566	-
YBR012W-A	-	-	YBR012W-A	YBR012W-A	TSS5305	II:259868-265140	-
YBR012W-B	-	-	YBR012W-B	YBR012W-B	TSS5305	II:259868-265140	-
YBR013C	-	-	YBR013C	YBR013C	TSS5398	II:265491-265881	-
YBR014C	-	-	YBR014C	GRX7	TSS6446	II:266724-267336	-
YBR015C	-	-	YBR015C	MNN2	TSS1581	II:267709-269503	-
YBR016W	-	-	YBR016W	YBR016W	TSS3517	II:270246-270633	-
YBR017C	-	-	YBR017C	KAP104	TSS6949	II:270946-273703	-
YBR018C	-	-	YBR018C	GAL7	TSS763	II:274426-275527	-
YBR019C	-	-	YBR019C	GAL10	TSS29	II:276252-278352	-
YBR020W	-	-	YBR020W	GAL1	TSS6638	II:279020-280607	-
YBR021W	-	-	YBR021W	FUR4	TSS1159	II:281442-283344	-
YBR022W	-	-	YBR022W	POA1	TSS4547	II:283737-284271	-
YBR023C	-	-	YBR023C	CHS3	TSS959	II:284427-287925	-
YBR024W	-	-	YBR024W	SCO2	TSS7011	II:289444-290350	-
YBR025C	-	-	YBR025C	OLA1	TSS2592	II:290680-291865	-
YBR026C	-	-	YBR026C	ETR1	TSS4344	II:292876-294019	-
YBR027C	-	-	YBR027C	YBR027C	TSS1962	II:294023-294356	-
YBR028C	-	-	YBR028C	YPK3	TSS3272	II:294424-296002	-
YBR029C	-	-	YBR029C	CDS1	TSS1084	II:296368-297742	-
YBR030W	-	-	YBR030W	RKM3	TSS5669	II:298291-299950	-
YBR031W	-	-	YBR031W	RPL4A	TSS5652	II:300165-301254	-
YBR032W	-	-	YBR032W	YBR032W	TSS6554	II:301518-301821	-
YBR033W	-	-	YBR033W	EDS1	TSS1723	II:301943-304703	-
YBR034C	-	-	YBR034C	HMT1	TSS5380	II:304929-305976	-
YBR035C	-	-	YBR035C	PDX3	TSS6776	II:306268-306955	-
YBR036C	-	-	YBR036C	CSG2	TSS2700	II:309080-310313	-
YBR037C	-	-	YBR037C	SCO1	TSS4376	II:310564-311452	-
YBR038W	-	-	YBR038W	CHS2	TSS5854	II:311897-314789	-
YBR039W	-	-	YBR039W	ATP3	TSS2104	II:315574-316510	-
YBR040W	-	-	YBR040W	FIG1	TSS6853	II:316967-317864	-
YBR041W	-	-	YBR041W	FAT1	TSS5889	II:318265-320275	-
YBR042C	-	-	YBR042C	CST26	TSS3803	II:320415-321609	-
YBR043C	-	-	YBR043C	QDR3	TSS1251	II:321875-323945	-
YBR044C	-	-	YBR044C	TCM62	TSS5871	II:324340-326059	-
YBR045C	-	-	YBR045C	GIP1	TSS2166	II:328172-330092	-
YBR046C	-	-	YBR046C	ZTA1	TSS1528	II:330506-331511	-
YBR047W	-	-	YBR047W	FMP23	TSS1140	II:331832-332360	-
YBR048W	-	-	YBR048W	RPS11B	TSS5504	II:332830-333812	-
YBR049C	-	-	YBR049C	REB1	TSS704	II:334385-336818	-
YBR050C	-	-	YBR050C	REG2	TSS872	II:337182-338338	-
YBR051W	-	-	YBR051W	YBR051W	TSS737	II:337182-338338	-
YBR052C	-	-	YBR052C	RFS1	TSS5940	II:338719-339352	-
YBR053C	-	-	YBR053C	YBR053C	TSS5888	II:339674-340751	-
