,GENE,CHRM,MAAnc,onetoone,twice,half,9,,1,2,3,4,5,6,7,8,9,11,15,28,88,108,119,MAAnc
21,YAL023C,chrI,5.243217634,5.243217634,6.243217634,4.243217634,5.192413093,-0.050804542,5.13519851,5.307988504,5.122512308,4.690561538,5.559564667,5.441333699,4.793811861,5.183642081,5.192413093,5.092263395,5.701594318,5.196712929,5.126796769,5.292139406,4.914673904,5.243217634
22,YAL024C,chrI,2.601596147,2.601596147,3.601596147,1.601596147,2.736166061,0.134569914,2.736208362,2.863741536,2.624775416,2.906305224,2.931696514,2.806920836,2.262600551,2.612704475,2.736166061,2.744745115,2.887081361,2.286452043,2.893951678,2.488925147,2.918521971,2.601596147
23,YAL025C,chrI,5.634230074,5.634230074,6.634230074,4.634230074,5.203421025,-0.430809049,5.296335993,5.236804536,5.459295193,4.04516017,5.057886376,5.3333542,5.13547366,5.403329047,5.203421025,5.304065981,5.212160156,4.683025716,5.816370559,5.658247406,5.316629208,5.634230074
24,YAL026C,chrI,4.232744883,4.232744883,5.232744883,3.232744883,4.340764931,0.108020048,4.396772201,4.401043028,4.398658021,4.529418769,4.526513009,4.502156149,4.072798617,4.46166255,4.340764931,4.2535177,4.488393266,4.222843248,4.380985921,4.985776793,4.32186831,4.232744883
25,YAL026C,chrI,4.232744883,4.232744883,5.232744883,3.232744883,4.340764931,0.108020048,4.396772201,4.401043028,4.398658021,4.529418769,4.526513009,4.502156149,4.072798617,4.46166255,4.340764931,4.2535177,4.488393266,4.222843248,4.380985921,4.985776793,4.32186831,4.232744883
26,YAL027W,chrI,5.259883251,5.259883251,6.259883251,4.259883251,5.087621284,-0.172261967,5.014905805,5.069426308,5.038895148,5.088784456,4.903998968,4.955754657,4.878561009,4.826096829,5.087621284,5.190491681,4.956970484,5.010155181,5.16342967,4.047642908,5.262444308,5.259883251
27,YAL028W,chrI,3.857719201,3.857719201,4.857719201,2.857719201,3.899252762,0.041533561,3.803521344,3.856133815,3.797015055,4.322606156,3.942709925,3.965453485,3.933845281,3.826826123,3.899252762,3.717604,3.69600223,4.001206078,3.108397594,4.454125124,3.727601311,3.857719201
28,YAL029C,chrI,5.377601161,5.377601161,6.377601161,4.377601161,5.407287885,0.029686724,5.344910313,5.425981848,5.338694138,5.364777814,5.546664356,5.369594455,5.056721271,5.454303767,5.407287885,5.138340759,5.556013462,5.130053397,5.313385487,6.121290788,5.116321213,5.377601161
29,YAL030W,chrI,6.726972228,6.726972228,7.726972228,5.726972228,6.618616144,-0.108356085,6.586019052,6.581367443,6.601657419,6.649889775,6.680017125,6.506924611,6.64498994,6.405010499,6.618616144,6.69833731,6.687835566,6.66001413,6.563473242,5.666439017,6.679168346,6.726972228
30,YAL031C,chrI,4.730732209,4.730732209,5.730732209,3.730732209,4.83187526,0.101143051,4.740662086,4.722591591,4.835289156,5.177208311,4.747366055,4.857726088,4.813402548,4.707537546,4.83187526,4.799968867,4.658315613,4.737225221,4.676892195,4.85070283,4.932300672,4.730732209
31,YAL032C,chrI,5.090769893,5.090769893,6.090769893,4.090769893,5.530133079,0.439363186,5.373560389,5.266861485,5.353708424,5.340252573,5.168997686,5.243316459,5.459026094,5.189949898,5.530133079,5.53722128,5.150049669,5.100391194,5.50622462,4.748840573,5.735270008,5.090769893
32,YAL033W,chrI,4.20062887,4.20062887,5.20062887,3.20062887,4.049405815,-0.151223055,4.127334289,4.149461328,4.084285683,3.795356228,3.947872758,4.311197247,4.051847773,4.021830026,4.049405815,4.137929099,4.008988528,3.974849594,4.380796472,3.546181047,4.215653351,4.20062887
33,YAL034C,chrI,8.068975665,8.068975665,9.068975665,7.068975665,7.944008924,-0.124966741,7.787248868,7.860200371,7.895411823,8.110390294,8.164098737,8.025061275,8.005711405,7.616408836,7.944008924,7.923673194,7.999507254,8.390188479,7.659769393,6.692079337,7.942095788,8.068975665
34,YAL034W-A,chrI,2.289500577,2.289500577,3.289500577,1.289500577,2.917544251,0.628043674,3.08182496,3.091973188,2.944820673,2.979249009,3.421972522,3.023636723,3.16876268,2.907610341,2.917544251,3.132951964,3.498317987,3.118352723,3.22114489,2.211643128,3.300585841,2.289500577
35,YAL035W,chrI,6.633780268,6.633780268,7.633780268,5.633780268,6.706559335,0.072779067,6.528353916,6.539803028,6.54025307,6.804598602,6.365989007,6.549554373,6.08686699,6.531557042,6.706559335,6.490823698,6.40102859,5.976903956,6.38473439,7.296796626,6.555547424,6.633780268
36,YAL036C,chrI,4.611514173,4.611514173,5.611514173,3.611514173,4.638680286,0.027166113,4.526864512,4.452117451,4.578527225,3.98015789,4.120683348,4.63111079,4.185991214,4.539086322,4.638680286,4.613889366,4.215389039,3.898726435,4.952491636,4.821043889,4.630219194,4.611514173
37,YAL037C-A,chrI,0.935644688,0.935644688,1.935644688,-0.064355312,0.687352305,-0.248292382,0.217065565,0.498749296,0.546581111,-2.034577492,0.555364406,0.792500078,-0.120171353,0.41318015,0.687352305,0.454538309,0.970234325,-0.12161733,1.216747675,0.071621682,0.48836593,0.935644688
38,YAL037W,chrI,4.270687001,4.270687001,5.270687001,3.270687001,4.54895939,0.278272389,4.259231512,4.359161402,4.247366418,3.09050588,4.205217699,4.009136015,3.845105385,4.020312841,4.54895939,4.669205102,4.77114883,3.651085323,5.124985498,3.053602983,4.582782683,4.270687001
39,YAL038W,chrI,9.355589803,9.355589803,10.3555898,8.355589803,10.1870594,0.831469596,9.917264884,9.894667919,9.830540269,10.02966841,9.569667755,9.950911071,10.0049719,10.2426169,10.1870594,9.81675418,9.50341974,10.42373222,9.828167925,10.71108859,9.679100324,9.355589803
40,YAL039C,chrI,7.591245478,7.591245478,8.591245478,6.591245478,7.486867661,-0.104377817,6.945019521,7.082716252,7.072532677,7.23673151,7.124250553,7.091641665,6.742457784,6.606282493,7.486867661,7.265326869,7.279765902,6.647236005,7.011863279,5.600585655,7.258980031,7.591245478
41,YAL040C,chrI,4.404368989,4.404368989,5.404368989,3.404368989,4.518752908,0.114383919,4.556981887,4.64519127,4.726116098,3.706304342,4.513923026,4.701637444,4.793979342,4.91232608,4.518752908,4.489683667,4.213188749,4.688128006,4.742943332,5.767963265,4.43215565,4.404368989
42,YAL041W,chrI,4.555619143,4.555619143,5.555619143,3.555619143,4.808083173,0.252464029,4.76320424,4.735314135,4.793054866,4.720429265,4.703255971,4.827811307,4.792953817,4.774944085,4.808083173,4.741553152,4.605580935,4.322626723,4.73114361,5.330535635,5.010227572,4.555619143
43,YAL042W,chrI,6.338118927,6.338118927,7.338118927,5.338118927,6.54091613,0.202797203,6.3720613,6.356364264,6.3496982,6.473894365,6.320927042,6.286721067,5.994372675,6.355869074,6.54091613,6.391809667,6.358756417,6.092954778,6.32310775,6.875538616,6.419240648,6.338118927
44,YAL043C,chrI,4.79068397,4.79068397,5.79068397,3.79068397,5.007521834,0.216837864,4.808485425,4.815739251,4.812989239,4.997860383,4.824703486,4.787209811,4.378746392,4.71009206,5.007521834,4.838506098,4.903882281,4.40147625,4.950960622,4.894726147,4.988236807,4.79068397
45,YAL044C,chrI,8.127180478,8.127180478,9.127180478,7.127180478,8.18289727,0.055716793,8.306768031,8.280389124,8.336772014,8.743811658,8.307690528,8.068958576,8.245880032,8.296642237,8.18289727,8.245101887,8.261933007,8.217591206,8.307629575,8.49815707,8.236659387,8.127180478
46,YAL044W-A,chrI,2.811539851,2.811539851,3.811539851,1.811539851,2.263397772,-0.548142079,2.44441108,2.617762372,2.545778603,2.67322617,2.560212592,2.712431976,2.632701383,2.333681637,2.263397772,2.415694877,2.784746125,2.4376073,2.734060054,1.302264145,2.167992937,2.811539851
47,YAL046C,chrI,5.038745253,5.038745253,6.038745253,4.038745253,5.169939256,0.131194003,5.039966189,5.117103813,4.920962009,5.063621772,5.189195477,4.939323136,4.715181691,4.747225283,5.169939256,5.264583396,5.650216697,4.611748843,5.366444425,4.108377222,5.131217262,5.038745253
48,YAL047C,chrI,4.000375729,4.000375729,5.000375729,3.000375729,4.05601178,0.055636051,3.953190983,3.98169911,3.907935625,4.42799337,3.949537153,3.992502408,3.679041245,3.88202612,4.05601178,3.964003649,3.934430541,3.535377355,4.146655796,4.167888368,4.170220784,4.000375729
49,YAL048C,chrI,4.938038174,4.938038174,5.938038174,3.938038174,4.880019711,-0.058018463,4.682997501,4.734830452,4.747758374,5.353263191,4.542346005,4.744635354,4.445443308,4.482858235,4.880019711,4.833628581,4.517155611,4.334889911,4.690564932,4.387065462,4.866295745,4.938038174
50,YAL049C,chrI,6.851835974,6.851835974,7.851835974,5.851835974,6.673027776,-0.178808197,6.544598328,6.623366499,6.643655415,6.384293558,6.743115067,6.603049743,6.689335779,6.422280107,6.673027776,6.687397579,6.698628874,6.643509145,6.654464986,5.780680141,6.74509943,6.851835974
51,YAL051W,chrI,5.606084328,5.606084328,6.606084328,4.606084328,5.494119416,-0.111964912,5.205770756,5.25467735,5.207723206,5.935152079,5.191700324,5.123525007,4.693982729,5.092722692,5.494119416,5.406314433,5.314883128,4.66912105,5.155738502,5.357399047,5.522982387,5.606084328
52,YAL053W,chrI,7.089426856,7.089426856,8.089426856,6.089426856,7.198689689,0.109262833,7.001627349,6.989797485,6.96141992,6.965591521,6.827881616,6.834505805,6.524230361,6.724384074,7.198689689,7.195621387,6.964538834,6.401331122,7.287780819,6.708674873,7.429142486,7.089426856
53,YAL054C,chrI,6.235646969,6.235646969,7.235646969,5.235646969,6.475540984,0.239894015,6.481578958,6.686084678,6.74961193,6.453441008,7.632958369,6.746644949,7.127759441,6.075597254,6.475540984,6.487138558,6.801389001,7.561877743,5.748864223,4.806292413,5.996799395,6.235646969
54,YAL055W,chrI,6.138023376,6.138023376,7.138023376,5.138023376,5.701956415,-0.436066962,5.606901726,5.698104521,5.642155144,5.509530436,5.565298666,5.662611137,5.610038827,5.39263069,5.701956415,5.790731124,5.63468883,5.626009657,5.592701838,4.395053225,5.724968863,6.138023376
55,YAL056W,chrI,6.877291687,6.877291687,7.877291687,5.877291687,6.762343936,-0.114947751,6.73531319,6.747586197,6.781521721,7.146853985,6.741738574,6.893897805,6.760969923,6.681808071,6.762343936,6.725034244,6.646284405,6.704132126,6.678741452,6.604538301,6.739691015,6.877291687
56,YAL058W,chrI,3.895193934,3.895193934,4.895193934,2.895193934,4.384297366,0.489103433,4.181552377,4.088897426,4.178070143,4.468866635,3.974016867,4.01394642,3.754656215,4.164597184,4.384297366,4.161022361,3.988763614,3.907302819,4.338304207,4.58653292,4.43970191,3.895193934
57,YAL059W,chrI,3.311710218,3.311710218,4.311710218,2.311710218,3.002599566,-0.309110652,3.033671828,3.068930669,3.096886266,1.775641052,3.039505645,3.362990471,3.190550485,3.023537528,3.002599566,3.167576034,3.187941103,2.742699764,3.389086896,2.409242285,3.091021632,3.311710218
58,YAL060W,chrI,8.572059463,8.572059463,9.572059463,7.572059463,8.85029653,0.278237066,8.412302055,8.401935535,8.416007164,9.80942461,7.986192531,8.104803737,7.95932718,8.103020956,8.85029653,8.598148204,8.112567081,7.819283259,8.103161694,8.58388652,8.886565541,8.572059463
59,YAL061W,chrI,8.754746258,8.754746258,9.754746258,7.754746258,8.656689636,-0.098056623,8.050895732,8.122857067,8.197008108,8.070183715,8.517471107,7.735574683,7.725233478,7.490250014,8.656689636,8.657471426,8.790743477,7.352864163,8.658654215,6.418192482,8.804450798,8.754746258
60,YAL062W,chrI,9.339460366,9.339460366,10.33946037,8.339460366,8.545312323,-0.794148042,8.504146565,8.807119792,8.841893739,8.770795323,9.650207604,9.357507909,9.000311295,8.22138488,8.545312323,8.53023432,9.210014408,9.030855649,8.441818812,6.716013648,8.513199617,9.339460366
61,YAL063C,chrI,6.384492093,6.384492093,7.384492093,5.384492093,6.362767878,-0.021724215,6.238451334,6.294868753,6.274870208,6.731560455,6.167285366,6.126126377,6.062361082,6.041445022,6.362767878,6.277685981,6.220796868,6.023984659,6.333352536,5.590695226,6.370547688,6.384492093
62,YAL063C-A,chrI,0.898004614,0.898004614,1.898004614,-0.101995386,0.845214615,-0.052789999,0.93162591,1.153938197,1.007726661,0.887832908,1.238674373,1.044628114,0.847124098,0.7496563,0.845214615,0.820037346,1.368656179,0.949200136,1.312529896,-0.319479043,0.901413356,0.898004614
63,YAL064C-A,chrI,2.031609838,2.031609838,3.031609838,1.031609838,2.095272048,0.063662211,2.032641739,2.060340596,2.055729691,3.289938132,1.967556135,2.263734666,1.695902051,1.984822886,2.095272048,1.892326884,1.806112689,2.08944123,2.053559037,2.429268634,2.067567949,2.031609838
64,YAL067C,chrI,4.390330135,4.390330135,5.390330135,3.390330135,4.888050397,0.497720262,5.039758987,5.0555983,4.86163601,5.920735027,4.938218657,4.540394931,4.250180721,5.062934311,4.888050397,4.568602107,4.981085586,4.645031162,5.211989949,6.172620572,4.773505597,4.390330135
65,YAR002C-A,chrI,6.853604392,6.853604392,7.853604392,5.853604392,6.763518839,-0.090085553,6.852267456,6.854091281,6.817959936,5.986888726,7.087581786,6.80354662,6.793062449,6.728526956,6.763518839,6.947433299,7.227150826,6.432786949,7.104326964,6.412130626,6.777733109,6.853604392
66,YAR002W,chrI,5.19578954,5.19578954,6.19578954,4.19578954,5.202987888,0.007198348,5.212199804,5.22032688,5.193589911,5.016742058,5.055068195,5.249921562,4.942145174,5.148584909,5.202987888,5.293812581,5.172673967,4.86636049,5.424165897,5.129880361,5.385353332,5.19578954
67,YAR003W,chrI,5.056774209,5.056774209,6.056774209,4.056774209,5.067468264,0.010694054,5.03611182,5.012734368,4.992731471,5.051623934,4.861034335,4.827282924,4.58480323,4.869248599,5.067468264,5.223273466,5.103086186,4.662074123,5.326572752,4.418793316,5.244193666,5.056774209
68,YAR007C,chrI,4.942771333,4.942771333,5.942771333,3.942771333,5.186898449,0.244127116,5.109957146,5.056210734,4.919332518,5.280293304,5.079981762,4.968345841,4.646751145,4.80040305,5.186898449,5.354388455,5.319359873,4.62587006,5.103721104,4.591976405,5.393167078,4.942771333
69,YAR008W,chrI,2.753557456,2.753557456,3.753557456,1.753557456,2.81025245,0.056694995,2.940034819,2.936451562,2.783171127,1.345263715,3.514543993,2.919937277,3.004731896,2.656998965,2.81025245,3.220109267,3.870815699,3.048734021,3.365351741,1.060653676,2.812506385,2.753557456
70,YAR009C,chrI,1.024982982,1.024982982,2.024982982,0.024982982,1.259562148,0.234579166,1.858413687,1.970551401,1.785381826,3.55528042,1.86662643,1.84966056,1.613374375,2.360031002,1.259562148,1.095305155,1.528545435,1.914374035,1.462758099,4.680413093,1.171543673,1.024982982
71,YAR014C,chrI,5.780842477,5.780842477,6.780842477,4.780842477,5.719344623,-0.061497854,5.651366614,5.638570025,5.59399069,5.907487596,5.4380286,5.619769253,5.388410378,5.535134182,5.719344623,5.758515723,5.501279842,5.196496638,5.665227389,5.525245257,5.732884842,5.780842477
72,YAR015W,chrI,6.221286756,6.221286756,7.221286756,5.221286756,6.431946092,0.210659336,6.722061057,6.566541069,6.733325525,7.536316212,6.441681748,6.550711981,6.514540478,7.106054295,6.431946092,6.39671381,6.328317915,6.743102262,6.456562521,8.588535225,6.313555453,6.221286756
73,YAR018C,chrI,3.896664534,3.896664534,4.896664534,2.896664534,4.406993713,0.51032918,4.307639892,4.340949601,4.269081561,4.099319802,4.528656426,4.007863057,4.239425123,4.201345012,4.406993713,4.285968098,4.488768058,4.467888039,4.654514476,3.616792736,4.424024201,3.896664534
74,YAR019C,chrI,5.393520125,5.393520125,6.393520125,4.393520125,5.383109397,-0.010410728,5.210857482,5.246296717,5.315018118,5.480284576,5.312966685,5.279925757,5.26516316,5.113388687,5.383109397,5.370079359,5.267307832,5.256588548,5.210400015,4.97877274,5.382703748,5.393520125
75,YAR020C,chrI,3.476847583,3.476847583,4.476847583,2.476847583,3.531793395,0.054945812,3.188036374,3.220904681,3.391171737,3.738009896,3.204639918,2.942790398,3.312354917,2.892300154,3.531793395,3.630852256,3.326660251,3.2222488,3.793653398,1.185076806,3.859506658,3.476847583
76,YAR023C,chrI,4.172533208,4.172533208,5.172533208,3.172533208,3.982661179,-0.189872029,4.160673904,4.216073187,4.174723203,4.540573067,4.0653781,4.392792035,4.24448327,4.233760936,3.982661179,4.003756408,3.967321612,4.329959909,4.280618462,4.115355137,4.175130929,4.172533208
77,YAR027W,chrI,7.16152785,7.16152785,8.16152785,6.16152785,7.026055291,-0.135472559,6.964865851,6.935518661,6.992944469,7.040908505,6.836519427,6.869117902,6.874356143,6.886375762,7.026055291,7.030416109,6.836178775,6.791718556,6.926096697,6.990112506,7.013959685,7.16152785
78,YAR028W,chrI,6.306090732,6.306090732,7.306090732,5.306090732,6.233913295,-0.072177437,5.999341048,5.949137074,5.848672651,5.171462642,5.462761521,5.713925757,4.990351454,5.927164204,6.233913295,6.349892139,6.247334408,4.790370306,6.84234718,6.163640706,6.340109239,6.306090732
79,YAR029W,chrI,1.7828239,1.7828239,2.7828239,0.7828239,1.96256733,0.179743429,1.849297853,1.928921633,1.790530273,2.698919285,1.314748741,1.424616717,1.253666217,1.885592546,1.96256733,1.872204927,1.669362716,1.220941415,1.975024693,2.287317311,2.012798858,1.7828239
80,YAR030C,chrI,1.302781191,1.302781191,2.302781191,0.302781191,1.362238619,0.059457428,1.31462871,1.370380422,1.201893006,2.179175751,0.999037615,1.110183334,0.422158985,1.261799011,1.362238619,1.056263658,1.602320854,0.561732064,1.793469997,1.4771857,1.331568601,1.302781191
81,YAR031W,chrI,3.394514996,3.394514996,4.394514996,2.394514996,3.46120375,0.066688754,3.450896579,3.440529352,3.35948839,3.855875232,3.153593951,3.156681243,2.874678557,3.425332324,3.46120375,3.392726696,3.575281838,3.014049382,3.766230848,3.762076163,3.450802882,3.394514996
82,YAR033W,chrI,4.117861169,4.117861169,5.117861169,3.117861169,4.0471989,-0.070662269,4.076171145,4.059544597,4.034682628,3.742460768,3.819679165,3.813874209,3.902146434,4.079330777,4.0471989,4.146107175,3.968772638,3.973004973,4.184125024,4.194012858,4.123465765,4.117861169
83,YAR035W,chrI,5.510343776,5.510343776,6.510343776,4.510343776,4.260494498,-1.249849278,3.912735452,4.42542231,4.39702751,3.800581562,5.66205248,4.924211356,4.517361883,3.12998872,4.260494498,3.93237841,5.268921527,4.263026674,3.493080482,0.84318573,3.33352461,5.510343776
84,YAR042W,chrI,6.584591404,6.584591404,7.584591404,5.584591404,6.269078403,-0.315513001,5.951517939,6.072075844,6.074356226,6.494141027,6.11303709,6.183309547,5.662487336,5.827152249,6.269078403,6.036629225,6.027971323,5.839376272,5.719660265,5.732170256,6.087954974,6.584591404
85,YAR047C,chrI,1.398061827,1.398061827,2.398061827,0.398061827,1.037720642,-0.360341185,1.201444199,1.657812429,1.306465697,1.661920059,1.71126711,1.47601413,1.348909461,1.152225442,1.037720642,0.893724538,1.481850185,1.576854031,1.330681186,0.591865599,0.975362963,1.398061827
86,YAR050W,chrI,4.932612572,4.932612572,5.932612572,3.932612572,4.351807883,-0.580804688,4.526149071,4.779117182,4.689875348,5.083108027,5.035497779,4.798263972,4.47680171,4.315992665,4.351807883,4.422562908,4.920399112,4.623754396,4.741394862,3.288870786,4.387850038,4.932612572
87,YAR053W,chrI,2.790579141,2.790579141,3.790579141,1.790579141,2.38374121,-0.406837931,2.309898054,2.479116157,2.524289873,1.918468204,2.615696262,2.451390953,2.364524025,2.19973184,2.38374121,2.176594842,2.823839877,2.560674548,2.976570607,0.792427832,2.293240313,2.790579141
88,YAR071W,chrI,3.267482717,3.267482717,4.267482717,2.267482717,2.140879844,-1.126602872,2.287307948,2.52502908,2.611970344,2.020109572,2.443322634,2.321881645,2.472689261,2.30369959,2.140879844,2.184768369,2.390118148,1.618385393,3.355030469,1.671130602,2.323961002,3.267482717
89,YBL001C,chrII,8.508051953,8.508051953,9.508051953,7.508051953,8.301559439,-0.206492514,8.295078325,8.350814724,8.353385559,8.142638623,8.438799742,8.38255173,8.573575662,8.133165512,8.301559439,8.41251075,8.405603375,8.468004847,8.290600854,7.284063621,8.406485552,8.508051953
90,YBL002W,chrII,5.010834992,5.010834992,6.010834992,4.010834992,4.751218725,-0.259616267,5.279169137,5.359956296,5.259577066,3.777517251,5.696525128,5.730177555,5.348036854,5.621840929,4.751218725,5.168144206,5.713784688,5.87670256,5.771481805,5.104538986,5.050028347,5.010834992
91,YBL003C,chrII,4.86279178,4.86279178,5.86279178,3.86279178,4.524762793,-0.338028987,5.308604177,5.380367569,5.157082752,3.95468711,6.094866186,5.990132098,5.527177217,5.747293469,4.524762793,4.929420751,5.998925083,6.167520311,5.313038853,5.70484195,4.617789985,4.86279178
92,YBL004W,chrII,5.937279965,5.937279965,6.937279965,4.937279965,5.451000035,-0.48627993,5.32452004,5.468940993,5.41608497,5.578955118,5.402129542,5.481571773,4.980498469,5.242122782,5.451000035,5.322274852,5.493563201,5.053866262,5.47531084,4.97467443,5.265485076,5.937279965
93,YBL005W,chrII,5.408030776,5.408030776,6.408030776,4.408030776,5.26841411,-0.139616665,5.475360251,5.469916554,5.471010694,5.894251762,5.310543912,5.509014139,5.212160986,5.574372131,5.26841411,5.271228126,5.241770654,5.239374758,5.354127333,6.255858698,5.380404694,5.408030776
94,YBL005W-B,chrII,2.871879797,2.871879797,3.871879797,1.871879797,2.877607836,0.005728038,3.191928678,3.093650335,3.082512113,4.076623493,2.816722317,2.63343767,2.559167535,3.427112355,2.877607836,2.812046669,2.579948649,3.037371118,2.503746887,5.949566406,2.9575007,2.871879797
95,YBL005W-B,chrII,2.871879797,2.871879797,3.871879797,1.871879797,2.877607836,0.005728038,3.191928678,3.093650335,3.082512113,4.076623493,2.816722317,2.63343767,2.559167535,3.427112355,2.877607836,2.812046669,2.579948649,3.037371118,2.503746887,5.949566406,2.9575007,2.871879797
